584,5,wynik za iv kwartal 2004 rok oraz wstepne wynik,1;
585,10,wynik za iv kwartal 2004 rok oraz wstepne wynik za 2004 rok,1;
586,6,  es ggazipari rszvenvtarsasag sprzedaz akcja skarbowy,0;
587,4,zakup akcja skarbowy,0;
588,2,  es gazipari rszvenvtarsasag zmiana organizacyjny,0;
589,10,wezwanie do zakup akcja skarbowy,0;
590,4,zakup akcja skarbowy,0;
591,4,zakup akcja skarbowy,0;
592,4,zakup akcja skarbowy,0;
593,16,rada dyrektor spolka zwolywac zwza,0;
594,6,korekta do raport biezacy numer 18/2005,0;
595,6,zakup akcja wlasny,1;
596,6,zakup akcja wlasny,0;
597,12,zakonczyc przejecie spolka shell romania,0;
598,23,wykup kwit 2005/a w termin platnosc,0;
599,6,zakup akcja wlasny,0;
600,6,zakup akcja wlasny,1;
601,6,zakup akcja wlasny,1;
602,5,wybrana dane finansowy z raport roczny 2004,1;
603,15,wiazacy oferta przetargowy na przejecie energopetrolu,0;
604,30,dokument na walny zgromadzenie akcjonariusz,0;
605,11,  es gazipari rszvenvtarsasag zakup akcja wlasny,0;
606,6,zakup akcja wlasny,1;
607,6,zakup akcja wlasny,1;
608,6,zakup akcja wlasny,0;
609,6,zakup akcja wlasny,0;
610,9,raport roczny za 2004 rok,1;
611,21,uchwala walny zgromadzenie akcjonariusz,1;
612,14,zmiana personalna w slovnafcie,1;
613,11,  es gazipari rszvenvtarsasag zakup akcja wlasny,1;
614,4,nowy partner w spolka zmb,0;
615,6,zakup akcja wlasny,0;
616,6,zakup akcja wlasny,1;
617,6,zakup akcja wlasny,1;
618,6,zakup akcja wlasny,0;
619,6,zakup akcja wlasny,1;
620,27,nabycie akcja wlasny,0;
621,27,nabycie akcja wlasny,1;
622,27,nabycie akcja wlasny,1;
623,27,nabycie akcja wlasny,1;
624,27,nabycie akcja wlasny,1;
625,16,wstepne wynik za i kwartal 2005 rok,1;
626,30,decyzja rad dyrektor o termin wyplat dywidenda,0;
627,27,nabycie akcja wlasny,0;
628,9,raport roczny za 2004 rok,0;
629,50,zbycie akcja przez dyrektor spolka,0;
630,6,nabycie akcja przez czlonek rn,1;
631,16,wstepne wynik za i kwartal 2005 rok,0;
632,27,nabycie akcja wlasny,0;
633,7,raport biezacy (wersja angielska),0;
634,19,umowa na kredyt odnawialny o wartosc 700 milion euro,0;
635,14,rozdzial akcja wsrod zarzad,0;
636,27,nabycie akcja wlasny,0;
637,5,rada dyrektor oglaszac wyplata dywidenda za rok obrotowy 2004,1;
638,37,sprzedaz akcja spolka przez menedzer,0;
639,17,zbycie akcja spolka przez menedzer,1;
640,44,nabycie akcja przez menedzer,0;
641,7,akceptacja czesciowy sprzedaz dzialalnosc gazowniczy spolka,1;
642,27,nabycie akcja wlasny,1;
643,6,zbycie akcja przez menedzer spolka,1;
644,6,zbycie akcja przez menedzer spolka,1;
645,27,nabycie akcja wlasny,0;
646,27,wstepne wynik za ii kwartal oraz i polrocze 2005 r.,0;
647,38,kanal komunikowac spolka,0;
648,48,zbycie akcja przez menedzer,0;
649,2,obecny stan praca wydobywczy w blok fedorowski,0;
650,13,decyzja rad dyrektor spolkio podwyzszenie kapital akcyjny,0;
651,4,wiazacy oferta na 51  udzial w tüpras,1;
652,18,miec nowe partner w spolka zmb,0;
653,5,sad rejestrowy zatwierdzic podwyzszenie kapital spolka,0;
654,16,publikacja ocena wiarygodnosc kredytowy,1;
655,30,zmiana w stan posiadanie akcja przez menadzer wysoki szczebel,0;
656,15,slovnaft ukarac przez slowacki minister finanse,0;
657,17,  es gazipari rszvenvtarsasag emitowac euroobligacja,1;
