id,cluster,text,change
0,10,zawarcie umowic o wartosc znaczacy pomiedzy a spolka kapitalowy administracyjny,0
1,4,odwolanie i powolanie prokurent,1
2,10,zawarcie umowic o wartosc znaczacy pomiedzy,0
3,10,zawarcie umowic o wartosc znaczacy,0
4,10,zawarcie umowic o wartosc znaczacy,0
5,10,zawarcie umowic o wartosc znaczacy pomiedzy a mercuria energy trading,0
6,4,zawarcie umowy na dostawa ropa naftowy,0
7,10,zawarcie umowic o wartosc umowy znaczacy,0
8,10,zmiana w statut,0
9,10,  tresc uchwala powziac przez wza,0
10,10,akcjonariusz posiadajacy co malo 5  glos na nwz w dzien 28.11.2012r.,0
11,10,zawarcie umowic o wartosc umowy znaczacy pomiedzy a spolka kapitalowy shell,0
12,4,ermin i porzadek nwz oraz projekt uchwala,1
13,10,wybor podmiot uprawniony do badanie sprawozdanie finansowy,0
14,10,termin i porzadek nwz oraz projekt uchwala,0
15,10,spelnienie warunek zawieszac umowy kredyt na,0
16,10,raport okresowy kwartalny skonsolidowac 3/2012 qsr,0
17,10,zawarcie umowic o wartosc umowy znaczacy pomiedzy a petraco oil company ltd.,0
18,4,zawarcie umowic o wartosc znaczacy pomiedzy a mercuria energy trading,1
19,10,zawarcie umowy kredytowy na refinansowanie obecny,0
20,10,zawarcie umowic o wartosc znaczacy z kapitalowy biskup,0
21,4,zawarcie umowic o wartosc znaczacy pomiedzy z kapitalowy,1
22,4,zawarcie umowic o wartosc znaczacy z mercuria energy trading,1
23,10,zawarcie umowic o wartosc znaczacy z kapitalowy statoil,0
24,10,  zawarcie umowic o wartosc znaczacy,0
25,4,raport okresowy polroczny za 2012 psr,1
26,10,zawarcie umowic o wartosc znaczacy z mercuria energy trading,0
27,10,zawarcie umowic o wartosc znaczacy z petraco oil company ltd.,0
28,10,akcjonariusz posiadajacy co malo 5  glos na zwz,0
29,10,tresc uchwala powziac przez zwz,0
30,4,powolanie zarzad osma kadencja,1
31,4,projekt uchwala wraz z uzasadnienie na zwz zwolac na 28 czerwiec 2012 r.,1
32,4,termin i porzadek zwz,1
33,4,wykaz informacja przekazac do publiczny wiadomosci w rok 2011,1
34,4,aneks do umowy znaczacy pomiedzy a kolej sp. z o.o.,1
35,10,rekomendacja zarzad w sprawa podzial zysk netto,0
36,10,zawarcie umowic o wartosc umowy znaczacy pomiedzy a kapitalowy chevron,0
37,4,skonsolidowac raport kwartalny qsr 2/2012,1
38,4,zawarcie umowic z kapitalowy statoil,1
39,4,  zawarcie umowy na dostawa ropa naftowy,1
40,10,zawarcie umowy na dostawa ropa naftowy pomiedzy a eminent energy ltd,0
41,4,  akcjonariusz posiadajacy co malo 5  glos na nwza,1
42,4,uchwala nwz podjac 29.02.2012 r.,1
43,4,umowy zawrzec pomiedzy a petraco oil company ltd.,1
44,10,powolanie osoba nadzorowac do rad nadzorczy,0
45,10,odwolanie osoba nadzorowac,0
46,4,termin przekazywac raport okresowy w 2012r.,1
47,4,rezygnacja czlonek rad nadzorczy,1
48,10,umowy zawrzec pomiedzy a tnk trade ltd.,0
49,4,wdrazac program optymalny ekspansja kapitalowy w 2012 r.,1
50,4,umowy zawrzec z podmiot kapitalowy biskup,1
