1930,61,raport kwartalny,1;
1931,15,projekt uchwala na zwza,1;
1932,54,skonsolidowac sprawozdanie finansowy msr,1;
1933,17,uchwala podjac na zwza,1;
1934,58,zostanš utworzyc nowe spolka transportowy,1;
1935,15,projekt uchwala na nwza,1;
1936,9,zmiana w zatrudnienie,1;
1937,12,uchwala nwza,0;
1938,6,podziemny magazyn paliwo,1;
1939,5,wstepny okolnik ofertowy,1;
1940,8,od 1 lipiec 2000 r. regionalny biuro handel detaliczny,1;
1941,15,uruchomic produkcja polietylen,1;
1942,20,decyzja kpwig,0;
1943,2,zmiana w zarzšdzie spolka,1;
1944,2,uzupelnienie raport roczny,1;
1945,5,wynik finansowy,1;
1946,14,zmiana w tre?ci prospekt emisyjny akcja seria d,1;
1947,33,zbycie akcja spolka,1;
1948,26,porozumienie z abn amro n.v.,1;
1949,6,odwolanie od decyzja uokik,1;
1950,6,emisja obligacja zamienny seria a,1;
1951,19,raport polroczny,0;
1952,5,termin raport sa ps,0;
1953,6,raport polroczny skonsolidowac msr,0;
1954,8,produkcja nowe olej,0;
1955,37,wypowiedzenie uklad zbiorowy praca,0;
1956,4,raport polroczny skonsolidowac,0;
1957,6,umowa z bank handlowy,1;
1958,3,zwrot zaleglo?ci podatkowy,0;
1959,4,umowa z roland berger & partner,1;
1960,36,uchylic kar nalozyc przez uokik,1;
1961,8,umowa kredytowy,0;
1962,28,uruchomic instalacja do kompozyt benzyna,0;
1963,61,raport kwartalny,0;
1964,4,nabycie akcja spolka z.a. anwil,0;
1965,6,nabycie akcja z.a. anwil,0;
1966,21,zmiana w sklad rad nadzorczy,0;
1967,44,instalacja hydroodsiarczania olej napedowy vi,0;
1968,26,termin i porzadek obrada nwza,0;
1969,10,skonsolidowac skrocic sprawozdanie finansowy wg. msr,0;
1970,6,termin przekazywac raport okresowy w 2001 r.,1;
1971,3,uruchomic instalacja reforming vi,0;
1972,13,zawarcie umowy na dostawa ropa,0;
1973,46,zaprzestanie produkcja benzyna etylizowac etylina 94,0;
1974,56,rezygnacja przewodniczacy rad nadzorczy,0;
1975,4,sprzedaz przez petroeltech sp. z o.o. akcja spolka,1;
1976,14,rezygnacja czlonek rn,1;
1977,23,przerwa w nwza,1;
1978,61,umowa na zakup lekki ropa naftowy,1;
1979,8,umowa na dostawa ropa z petrobaltic sp. z o.o.,1;
1980,18,zakup akcja spolka bht dromech,1;
1981,39,uzupelnienie do raport,1;
1982,17,przerwa w obrada nwza,1;
1983,23,rejestracja spolka koltrans sp. z o.o.,1;
1984,43,rejestracja zaklad urzadzenie dystrybucyjny sp. z o.o.,0;
1985,34,umowa na dostawa ropa naftowy z veba supply & trading gmbh,0;
1986,19,zawarcie umowic sprzedaz produkt,1;
1987,46,korekta raport biezacy,1;
1988,2,ekodisel plus 50,1;
1989,3,nwza zakonczyc obrady ustalac zmiana w sklad rn,1;
1990,45,korekta raport numer 4/2001,1;
1991,5,uchwala po nwza podjac w dzien 10 styczen 2001 r.,1;
1992,22,franklin resources  inc. posiadac ponad 5  akcja,1;
1993,19,transakcja z podmiot zalezny,1;
1994,5,laczyc spolka,1;
1995,61,raport kwartalny,1;
1996,12,umowy z silesia sp. z o.o. i pgnig,1;
1997,10,rozbudowa elektrocieplownia w,1;
1998,55,zaplata za akcja polkomtel,1;
1999,2,zgoda uokik,1;
2000,4,m.mroczkowski czasowo prezes zarzad spolka polkomtel,1;
2001,6,korekta raport numer 17/2001,1;
2002,24,raport roczny,0;
2003,3,nabycie udzial przez petrogaz plock sp. z o.o.,0;
2004,11,korekta raport numer 19/2001,0;
2005,3,termin i porzadek obrada zwza,0;
2006,6,przekazac do gus wynik po i kwartal 2001 r.,1;
2007,12,raport kwartalny sa q,1;
2008,11,wynik za rok 2000 wedlug msr,1;
2009,5,program level i dla w stan zjednoczyc,0;
2010,2,uchwala podjac przez zwza 14 maja 2001 rok,1;
2011,2,skonsolidowac raport kwartalny sa qs,1;
2012,21,zmiana w sklad rad nadzorczy,1;
2013,21,wplyw metoda wycena zapas na wynik finansowy,0;
2014,18,skonsolidowac sprawozdanie finansowy za i kwartal 2001,0;
2015,9,akcja premiowy,1;
2016,19,akcjonariusz 5 ,1;
2017,31,zwolanie nwza na dzien 6 lipiec 2001 rok,0;
2018,13,w wybor wiceprzewodniczacego i sekretarz rn,1;
2019,25,nabycie akcja spolka zaklady azotowy anwil od biga bg,1;
2020,15,projekt uchwala na nwza,1;
2021,10,pozyczka dla polkomtel,1;
2022,5,program rozwoj spolka na latac 2001 2010,1;
2023,44,nabycie udzial spolka el dystrybucja sp. z o.o.,1;
2024,42,uchwala na nwza,1;
2025,41,zbycie udzial spolka petrogaz inowroclaw sp. z o.o.,0;
2026,26,emerging markets growth fund.  inc w posiadanie ponad 5  akcja,0;
2027,5,przedluzenie umowy z bmp trading gmbh&co.kg,1;
2028,12,franklin resources  inc. zmniejszyc liczba akcja,1;
2029,17,obligacja zamienny na akcja dla czlonek zarzad,1;
2030,5,wynik finansowy,1;
2031,18,emisja obligacji.,0;
2032,20,emisja obligacja   pierwsza seria,0;
2033,24,emisja obligacja pierwsza seria   korekta,0;
2034,4,trzeci etap prywatyzacja,0;
2035,3,emisja obligacja (druga i trzecia seria),0;
2036,12,raport kwartalny sa q,0;
2037,46,zatwierdzenie przez rn strategia na latac 2001 2005,1;
