id,cluster,text,change
3163,21,new gas andante condensate discovery in pakistan,0
3164,21,andante cez modified the conditions of the option structure regarding shares,0
3165,16,share sala of manager,1
3166,16,number of voting rights at plc,1
3167,21,olaj: share sala of manager,0
3168,21,share sala of manager,0
3169,21,share sala of manager,0
3170,16,share sala of manager,1
3171,21,share sala of manager,0
3172,21,treasury shares transaction,0
3173,21,treasury shares transaction,0
3174,21,zlozyc wiazacy oferta na 96 9  udzial w spolka oao udmurtneft,0
3175,16,  es gazipari nyilvanosan mukodo reszvenvtarsasag raport roczny,1
3176,16,ilosc prawic glos,1
3177,16,podpisac umowa zakup zwiekszac do 100  udzial w austria handels gmbh,1
3178,7,zakup akcja wlasny,0
3179,21,miec nowe partner w spolka zmb,0
3180,16,udzial spolka w ina wzrosc do 47 15 ,1
3181,16,  sprzedaz akcja przez ceo,1
3182,16,powiadomienie oman oil budapest limited dotyczyc zmiana w ilosci prawic glos,1
3183,16,  zakup akcja wlasny,1
3184,21,projekt umowy z exxonmobil,0
3185,16,wstepne wynik za iii kwartal 2007 rok,1
3186,7,zakup akcja wlasny,0
3187,21,wstepne wynik za iii kwartal 2008 r.,0
3188,16,sprzedaz akcja przez menadzer,1
3189,16,zmiana wplyw na spolka,1
3190,16,zmiana w ilosci prawic glos,1
3191,21,ilosc prawic glos,0
3192,21,  es gazipari rszvenvtarsasag zmiana organizacyjny,0
3193,16,zmiana wplyw na spolka,1
3194,16,nabycie akcja przez czlonek rn,1
3195,21,uchwala walny zgromadzenie akcjonariusz z 23 kwietni 2008 r.,0
3196,21,dokument na walny zebranie akcjonariusz   wersja polski,0
3197,7,zakup akcja wlasny,1
3198,16,  zakup obligacja kapitalowy przez menadzer,1
3199,21,zmiana wplyw na spolka,0
3200,16,zmiana wspolczynnik w adr ach,1
3201,16,wstepne wynik za i kwartal 2005 rok,1
3202,16,powiadomienie bhv aga dotyczyc zmiana w ilosci prawic glos,1
3203,21,zakonczyc zakup ngosso permit w kamerunie,0
3204,16,skrocic harmonogram wza spolka,1
3205,16,harmonogram wza spolka wersja angielski,1
3206,16,  ilosc prawic glos w spolka,1
3207,21,  es gazipari rszvenvtarsasag sprzedaz akcja wlasny,0
3208,7,zakup akcja wlasny,1
3209,21,strategiczny sojusz pomiedzy cez a,0
3210,16,zbycie akcja przez menedzer spolka,1
3211,16,zbycie akcja przez menedzer spolka,1
3212,21,dokument na walny zgromadzenie akcjonariusz,0
3213,16,podpisac umowy opcja z ing bank n.v.,1
3214,16,wynik przetarg na wybudowac strategiczny magazyn gaz,1
3215,21,utworzyc spolka joint venture i cez,0
3216,21,odkrycie nowy zloze ropa naftowy w rosji efekt dzialanie poszukiwawczy spolka,0
3217,16,organizowac dzien dla analityk oraz inwestor,1
3218,21,oswiadczenie w sprawa powiadomienie dotyczyc fuzja,0
3219,16,  es gazipari rszvenvtarsasag zakup akcja wlasny,1
3220,21,  zakup akcja wlasny,0
3221,7,zakup akcja wlasny,1
3222,16,miejsce publikacja wstepny wynik za iv kw. i 2006 r.,1
3223,16,swiatlo dla spolka joint venture i cez,1
3224,7,zakup akcja wlasny,1
3225,21,informacja o zmiana wplyw na spolka,0
3226,21,raport podsumowywac za rok finansowy 2007,0
3227,21,raport roczny 2007,0
3228,7,zakup akcja wlasny,0
3229,12,nabycie akcja wlasny,0
3230,16,realizacja transakcja,1
3231,21,  zakup akcja wlasny,0
3232,21,zamiana akcja wlasny,0
3233,16, raport roczny za 2006 rok   uzupelnic wersja polskojezyczny,1
3234,16,podpisac porozumienie z indyjski spolka ongc,1
3235,12,nabycie akcja wlasny,0
3236,21,sad rejestrowy zarejestrowac podwyzszenie kapital akcyjny spolka,0
3237,16,ilosc prawic glos przypisac do akcja,1
3238,21,rada dyrektor oglaszac wyplata dywidenda za rok obrotowy 2006,0
3239,7,zakup akcja wlasny,1
3240,16,potwierdzenie obsada stanowisko dyrektor zarzadzajacy siec sprzedaz,1
3241,7,zakup akcja wlasny,0
3242,21,stanowisko firma odnosnie oswiadczenie omv,0
3243,21,zmiana wplyw na spolka,0
3244,21,umowa na zakup 100  udzial w italiana energia e servizi,0
3245,21,sprzedaz akcja przez menadzer   korekta komunikat,0
3246,16,wstepne wynik za ii kwartal 2006 r.,1
3247,21,dotyczyc zmiana w ilosci prawic glos,0
3248,21,odkrycie nowy zloze gaz i kondensat w pakistanie,0
3249,16,sprzedaz akcja spolka przez menadzer,1
3250,16,  es gnmr powolac spolka obrot gaz ziemny,1
3251,16,uchwala roczny zgromadzenie akcjonariusz,1
3252,21,sprzedaz akcja spolka przez menadzer,0
3253,12,nabycie akcja wlasny,1
3254,21,wezwanie do zakup akcja skarbowy,0
