id,cluster,text,change
2655,6,  rejestracja akcja w kdpw,1
2656,6,nabycie udzial w silurian sp. z o.o,1
2657,6,spelnienie warunek umowy zobowiazywac do sprzedaz udzial w spolka too emba juga nieft,1
2658,6,zawarcie porozumienie,1
2659,38,zmiana stan posiadanie akcja,0
2660,6,rejestracja akcja w kdpw,1
2661,29,wprowadzenie akcja do obrot na gpw,1
2662,38,  spelnienie warunek umowy zobowiazywac do sprzedaz udzial,0
2663,11,informowac,1
2664,38,spelnienie warunek umowy zobowiazywac do sprzedaz udzial w spolka too company profit,0
2665,38,warunkowy rejestracja akcja w kdpw,0
2666,38,zmiana stan posiadanie akcja,0
2667,6,rejestracja warunkowe podwyzszenie kapital zakladowy,1
2668,38,  aneks do umowy kredyt,0
2669,38,  podpisac aneks do umowy,0
2670,6,wykaz akcjonariusz na nwz ktory odbyc siebie w dzien 26 listopad 2012 rok,1
2671,6,tresc uchwala nwz  ktory odbyc siebie dzien 26 listopad 2012 rok,1
2672,38,raport okresowy kwartalny skonsolidowac 3/2012 qsr,0
2673,38,zawarcie porozumienie w sprawa finansowac bcc,0
2674,38,zwolanie nwza,0
2675,38,podpisac aneks do umowy,0
2676,6,wniesc powodztwo o uniewaznienie uchwala nwz z 31 styczen 2012 r.,1
2677,38,decyzja o przedluzenie okres poszukiwawczy kontrakt profit,0
2678,38,podpisac aneks do umowy zobowiazywac do sprzedaz udzial w spolka too emba juga nieft,0
2679,6,raport okresowy polroczny za 2012 psr,1
2680,38,zmiana stan posiadanie akcja,0
2681,38,zmiana stan posiadanie akcja,0
2682,38,  zmiana stan posiadanie akcja,0
2683,6,zmiana stan posiadanie akcja,1
2684,6,zmiana stan posiadanie akcja,1
2685,38,  rejestracja akcja w kdpw,0
2686,29,wprowadzenie akcja do obrot na gpw,1
2687,38,podpisac aneks do umowy zobowiazywac do sprzedaz udzial w spolka too emba juga nieft,0
2688,6,nabycie udzial w silurian sp. z o.o. oraz,1
2689,6,  odpowiedz na pytanie inwestor,1
2690,6,aneks do umowy kredyt,1
2691,6,aneks do umowy kredyt,1
2692,6,aneks do umowy zobowiazywac do sprzedaz udzial w spolka too emba juga nieft,1
2693,6,akcjonariusz   5  liczba glos na zwz,1
2694,6,powolanie osoba nadzorowac,1
2695,6,tresc uchwala zwz,1
2696,38,spelnienie siebie warunek dot. zawrzec znaczacy umowy warunkowy,0
2697,38,wybor podmiot uprawniony do badanie sprawozdanie finansowy,0
2698,38,zmiana stan posiadanie akcja,0
2699,38,zmiana stan posiadanie akcja,0
2700,6,zmiana w porzadek obrada zwz,1
2701,38,ogloszenie o zwolanie zwyczajny walny zgromadzenie,0
2702,6,zmiana stan posiadanie akcja,1
2703,6,zawarcie umowy o wspolny operacja pomiedzy too oiltechnogroup a total e&p koblandy,1
2704,6,zmiana stan posiadanie akcja,1
2705,6,raport okresowy kwartalny skonsolidowac 1/2012 qsr,1
2706,38,informacja poufny,0
2707,38,zmiana stan posiadanie akcja,0
2708,38,przeprowadzic oferta prywatny przez silurian hallwood plc,0
2709,38,  otrzymac wycena perspektywiczny zasoby weglowodor,0
2710,38,  otrzymac wycena perspektywiczny zasoby weglowodor,0
2711,6,wykaz informacja biezacy i okresowy przekazac do publiczny wiadomosci w 2011 rok,1
2712,38,wydluzenie okres kredytowac,0
2713,6,zmiana stan posiadanie akcja,1
2714,38,raport okresowy roczny skonsolidowac za 2011 rs,0
2715,38,raport okresowy roczny za 2011 rok,0
2716,6,zmiana stan posiadanie akcja,1
2717,6,zmiana stan posiadanie akcja,1
2718,38,rejestracja akcja w kdpw,0
2719,6,zmiana stan posiadanie akcja,1
2720,29,wprowadzenie akcja do obrot na gpw,1
2721,6,warunkowy rejestracja akcja w kdpw,1
2722,38,awarcie umowic nabycie akcji/udzialow w podmiot sektor gaz lupkowy,0
2723,38,zmiana stan posiadanie akcja,0
2724,6,zmiana stan posiadanie akcja,1
2725,25,zawiadomienie o transakcja osoba zobowiazana,0
2726,38,zmiana stan posiadanie akcja,0
2727,6,warunkowy rejestracja akcja w kdpw,1
2728,25,zawiadomienie o transakcja osoba zobowiazana,0
2729,6,rejestracja warunkowe podwyzszenie kapital zakladowy,1
2730,38,wykaz akcjonariusz posiadajacy co malo 5 ,0
2731,38,tresc uchwala nwz ktory odbyc siebie dzien 31 styczen 2012 rok,0
2732,38,tresc uchwala nwz ktory odbyc siebie dzien 31 styczen 2012 rok,0
2733,38,termin publikacja raport okresowy w 2012 rok,0
2734,38,rezygnacja osoba nadzorowac,0
2735,38,informacja udzielic akcjonariusz poza walny zgromadzenie,0
2736,38,zmiana stan posiadanie akcja,0
2737,6,ogloszenie o zwolanie nwz,1
2738,38,zmiana stan posiadanie akcja,0
2739,38,zmiana stan posiadanie akcja,0
2740,25,zawiadomienie o transakcja osoba zobowiazana,0
2741,6,zawarcie umowy zobowiazywac do sprzedaz udzial too emba juga nieft,1
2742,29,wprowadzenie akcja do obrot na gpw,1
2743,38,zawarcie umowic nabycie akcji/udzialow w podmiot sektor gaz lupkowy,0
2744,38,zmiana harmonogram splat kredyt,0
2745,6,korekta do raport niezalezny ekspert,1
2746,6,raport okresowy kwartalny skonsolidowac 3/2011 qsr,1
2747,38,przeprowadzic oferta prywatny przez silurian hallwood plc,0
2748,29,wprowadzenie akcja do obrot na gpw,1
2749,6,zaoferowac i objecie warrant subskrypcyjny seria a i bar,1
2750,29,wprowadzenie akcja do obrot na gpw,1
2751,29,wprowadzenie akcja do obrot na gpw,1
2752,38,nowy raport nezaleznego ekspert wedlug stan na pazdziernik 2011,0
2753,6,rejestracja warunkowe podwyzszenie kapital zakladowy,1
2754,6,warunkowy rejestracja akcja w kdpw,1
2755,6,  zmiana stan posiadanie akcja,1
2756,6,decyzja o przedluzenie okres poszukiwawczy kontrakt emba,1
2757,25,zawiadomienie o transakcja osoba zobowiazana,0
2758,6,tresc uchwala nwz   ktory odbyc siebie 27 wrzesnia 2011 r.,1
2759,6,  wykaz akcjonariusz,1
2760,6,  wykaz akcjonariusz,1
2761,6,nadzwyczajny walny zgromadzenie 26 wrzesnia 2011 rok,1
2762,6,zawarcie znaczacy umowy,1
2763,25,zawiadomienie o transakcja osoba zobowiazana,1
2764,6,zmiana stan posiadanie akcja,1
2765,6,opinia rad nadzorczy w sprawa pelniec obowiazek przez prezes zarzad,1
2766,29,wprowadzenie akcja do obrot na gpw,0
2767,6,objecie akcja seria co przez posiadacz warrant subskrypcyjny seria i,1
2768,6,zaoferowac i objecie warrant subskrypcyjny seria j,1
2769,6,ustabilizowac odwiert shyrak 1,1
2770,29,wprowadzenie akcja do obrot na gpw,1
2771,6,objecie akcja seria co,1
2772,6,ogloszenie o zwolanie nwza,1
2773,6,ogloszenie o zwolanie nwza,1
2774,29,wprowadzenie akcja do obrot na gpw,1
2775,38,objecie warrant subskrypcyjny,0
2776,38,informacja udzielic akcjonariusz poza walny zgromadzenie,0
2777,38,nabycie udzial w silurian hallwood limited oraz w silurian sp. z o.o.,0
2778,25,zawiadomienie o transakcja osoba zobowiazana,0
2779,38,silny i staly przyplyw gaz z kondensat wraz z,0
2780,6,otrzymac koncesja na poszukiwanie zloze ropa naftowy i gaz ziemny przez spolka z,1
2781,29,wprowadzenie akcja do obrot na gpw,1
2782,6,zaoferowac i objecie warrant subskrypcyjny uprawniac do objecia akcja seria co,1
2783,38,otrzymac wynik interpretacja pomiar geofizyczny odwiert shyrak 1,0
2784,38,wybor podmiot uprawniony do badanie sprawozdanie finansowy,0
2785,25,zawiadomienie o transakcja osoba zobowiazana,0
2786,38,zmiana stan posiadanie akcja,0
2787,25,zawiadomienie o transakcja osoba zobowiazana,0
2788,38,zmiana stan posiadanie akcja,0
2789,38,wykonanie umowy o wspolny inwestycja,0
2790,29,wprowadzenie akcja do obrot na gpw,1
2791,6,zaoferowac i objecie warrant subskrypcyjny uprawniac do objecia akcja seria co,1
2792,38,podpisac umowy zobowiazywac do sprzedaz udzial w spolka too company profit,0
2793,38,podpisac umowy zobowiazywac do sprzedaz udzial w spolka too company profit,0
2794,38,umowa nabycie udzial w spolka pomorski farma wiatrowy sp. z o.o.,0
2795,38,przeniesienie koncesja na poszukiwanie zloze ropa,0
2796,6,podpisac umowy o wspolny inwestycja,1
2797,6,otrzymac koncesja na poszukiwanie zloze ropa naftowy i gaz ziemny przez silurian sp. z o.o.,1
2798,29,wprowadzenie akcja do obrot na gpw,1
2799,25,zawiadomienie o transakcja osoba zobowiazana,1
2800,6,zaoferowac i objecie warrant subskrypcyjny uprawniac do objecia akcja seria co,1
2801,38,akcjonariusz 5  liczba glos na zwz 30 czerwiec 2011 rok,0
2802,38,tresc uchwala zwz ktory odbyc siebie dzien 30 czerwiec 2011 rok,0
2803,38,powolanie osoba nadzorowac,0
2804,29,wprowadzenie akcja do obrot na gpw,1
2805,38,zaoferowac i objecie warrant subskrypcyjny,0
2806,29,wprowadzenie akcja do obrot na gpw,1
2807,6,zaoferowac i objecie warrant subskrypcyjny,1
2808,38,otrzymac koncesja na poszukiwanie zloze ropa naftowy i gaz ziemny przez silurian sp. z o.o.,0
2809,29,wprowadzenie akcja do obrot na gpw,1
2810,25,zawiadomienie o transakcja osoba zobowiazana,0
2811,38,zmiana stan posiadanie akcja,0
2812,38,zaoferowac i objecie warrant subskrypcyjny,0
2813,6,zaoferowac i objecie warrant subskrypcyjny,1
2814,6,otrzymac koncesja na poszukiwanie zloze ropa,1
2815,6,zmiana stan posiadanie akcja,1
2816,25,zawiadomienie o transakcja osoba zobowiazana,1
2817,6,ogloszenie o zwolanie zwz,1
2818,38,uzyskac nowy dany geologiczny dla struktura koblandy,0
2819,29,wprowadzenie akcja do obrot na gpw,1
2820,6,rezygnacja osoba nadzorowac,1
2821,6,zaoferowac i objecie warrant subskrypcyjny,1
2822,29,wprowadzenie akcja do obrot na gpw,0
2823,6,wykaz informacja przekazac do wiadomosci w 2010 rok,1
2824,6,warunkowy rejestracja akcja w kdpw,1
2825,6,raport okresowy kwartalny skonsolidowac 1/2011 qsr,1
2826,38,  rejestracja warunkowe podwyzszenie kapital,0
2827,6,wykaz akcjonariusz na nwz w dzien 9 maja 2011 rok,1
2828,6,tresc uchwala nwz 9 maja 2011 rok,1
2829,6,raport okresowy roczny skonsolidowac za 2010 rs,1
2830,6,raport okresowy roczny za 2010 rok,1
2831,38,umowa o pozyskanie finansowac z prokom investments,0
2832,38,nwz z dzien 16 kwietni 2011 rok,0
2833,38,wykaz akcjonariusz na nwza,0
2834,6,ogloszenie o zwolanie nwz,1
2835,25,zawiadomienie o transakcja osoba zobowiazana,0
2836,25,zawiadomienie o transakcja osoba zobowiazana,0
2837,38,zmiana stan posiadanie akcja,0
2838,29,wprowadzenie akcja do obrot na gpw,1
2839,6,ogloszenie o zwolanie nwz,1
2840,38,zmiana stan posiadanie akcja,0
2841,25,zawiadomienie o transakcja osoba zobowiazana,0
2842,38,zaoferowac i objecie warrant subskrypcyjny,0
2843,6,zmiana stan posiadanie akcja,1
2844,25,zawiadomienie o transakcja osoba zobowiazana,1
2845,29,wprowadzenie akcja do obrot na gpw,1
2846,38,  zaoferowac i objecie warrant,0
2847,38,raport okresowy kwartalny skonsolidowac 4/2010 qsr,0
2848,25,zawiadomienie o transakcja osoba zobowiazana,1
2849,6,zmiana stan posiadanie akcja,1
2850,25,zawiadomienie o transakcja osoba zobowiazana,1
2851,6,zmiana stan posiadanie akcja,1
2852,6,zmiana termin publikacja raport okresowy w 2011 rok,1
2853,29,wprowadzenie akcja do obrot na gpw,0
2854,38,zmiana stan posiadanie akcja,0
2855,25,zawiadomienie o transakcja osoba zobowiazana,0
2856,38,zaoferowac i objecie warrant subskrypcyjny uprawniac do objecia akcja seria bar,0
2857,6,zmiana stan posiadanie akcja,1
2858,6,termin publikacja raport okresowy w 2011 rok,1
2859,29,wprowadzenie akcja do obrot na gpw,1
2860,6,zaoferowac i objecie warrant subskrypcyjny,1
2861,29,wprowadzenie akcja do obrot na gpw,0
2862,6,zaoferowac i objecie warrant subskrypcyjny oraz objecie akcja seria bar,1
2863,6,umowa z dominowac akcjonariusz,1
2864,6,podpisac umowy inwestycyjny oraz nabycie udzial,1
2865,25,zawiadomienie o transakcja osoba zobowiazana,1
2866,6,zmiana stan posiadanie akcja,1
2867,29,wprowadzenie akcja do obrot na gpw,0
2868,6,realizacja warunek umowy znaczacej  zawarcie umowy przeniesienie wierzytelnosc,1
