1030,31,wynik za iv kwartal 2004 rok oraz wstepne wynik,1;
1031,43,wynik za iv kwartal 2004 rok oraz wstepne wynik za 2004 rok,1;
1032,9,  es ggazipari rszvenvtarsasag sprzedaz akcja skarbowy,0;
1033,15,zakup akcja skarbowy,0;
1034,11,  es gazipari rszvenvtarsasag zmiana organizacyjny,0;
1035,3,wezwanie do zakup akcja skarbowy,0;
1036,15,zakup akcja skarbowy,0;
1037,15,zakup akcja skarbowy,0;
1038,15,zakup akcja skarbowy,0;
1039,18,rada dyrektor spolka zwolywac zwza,0;
1040,61,korekta do raport biezacy numer 18/2005,0;
1041,15,zakup akcja wlasny,1;
1042,15,zakup akcja wlasny,0;
1043,25,zakonczyc przejecie spolka shell romania,0;
1044,9,wykup kwit 2005/a w termin platnosc,0;
1045,15,zakup akcja wlasny,0;
1046,15,zakup akcja wlasny,1;
1047,15,zakup akcja wlasny,1;
1048,35,wybrana dane finansowy z raport roczny 2004,1;
1049,54,wiazacy oferta przetargowy na przejecie energopetrolu,0;
1050,15,dokument na walny zgromadzenie akcjonariusz,0;
1051,5,  es gazipari rszvenvtarsasag zakup akcja wlasny,0;
1052,15,zakup akcja wlasny,1;
1053,15,zakup akcja wlasny,1;
1054,15,zakup akcja wlasny,0;
1055,15,zakup akcja wlasny,0;
1056,29,raport roczny za 2004 rok,1;
1057,2,uchwala walny zgromadzenie akcjonariusz,1;
1058,8,zmiana personalna w slovnafcie,1;
1059,5,  es gazipari rszvenvtarsasag zakup akcja wlasny,1;
1060,28,nowy partner w spolka zmb,0;
1061,15,zakup akcja wlasny,0;
1062,15,zakup akcja wlasny,1;
1063,15,zakup akcja wlasny,1;
1064,15,zakup akcja wlasny,0;
1065,15,zakup akcja wlasny,1;
1066,32,nabycie akcja wlasny,0;
1067,32,nabycie akcja wlasny,1;
1068,32,nabycie akcja wlasny,1;
1069,32,nabycie akcja wlasny,1;
1070,32,nabycie akcja wlasny,1;
1071,3,wstepne wynik za i kwartal 2005 rok,1;
1072,30,decyzja rad dyrektor o termin wyplat dywidenda,0;
1073,32,nabycie akcja wlasny,0;
1074,29,raport roczny za 2004 rok,0;
1075,14,zbycie akcja przez dyrektor spolka,0;
1076,2,nabycie akcja przez czlonek rn,1;
1077,3,wstepne wynik za i kwartal 2005 rok,0;
1078,32,nabycie akcja wlasny,0;
1079,4,raport biezacy (wersja angielska),0;
1080,37,umowa na kredyt odnawialny o wartosc 700 milion euro,0;
