unused1,messageId,unused2,increaseId
0,49,0,1
0,49,0,1
0,34,0,0
0,49,0,1
0,49,0,1
0,49,0,1
0,213,0,0
0,49,0,1
0,49,0,1
0,176,0,1
0,49,0,1
0,114,0,1
0,34,0,0
0,49,0,1
0,34,0,0
0,34,0,0
0,196,0,0
0,176,0,1
0,34,0,0
0,111,0,0
0,49,0,1
0,49,0,1
0,292,0,0
0,310,0,0
0,388,0,0
0,335,0,0
0,34,0,0
0,49,0,1
0,34,0,0
0,49,0,1
0,49,0,1
0,366,0,1
0,49,0,1
0,34,0,0
0,34,0,0
0,49,0,1
0,34,0,0
0,34,0,0
0,34,0,0
0,49,0,1
0,345,0,1
0,34,0,0
0,34,0,0
0,107,0,0
0,306,0,0
0,49,0,1
0,34,0,0
0,34,0,0
0,34,0,0
0,34,0,0
